Instrument:,RS41,Measurement End Time:,"06/14/2024, 13:54:52",NCAR RS41 sensor on Strateole 2 Super Pressure Balloons
valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,2,-100.0,0.0,772.0,136
1,3,-100.0,0.0,772.02,136
1,4,-100.0,0.0,771.9,136
1,5,-100.0,0.0,771.96,136
1,6,-100.0,0.0,772.02,136
1,7,-100.0,0.0,771.96,136
1,8,-100.0,0.0,771.9,136
1,9,-100.0,0.0,771.96,136
1,10,-100.0,0.0,771.9,136
1,11,-100.0,0.0,772.02,136
1,12,-100.0,0.0,771.86,136
1,13,-100.0,0.0,771.94,136
1,14,-100.0,0.0,771.9,136
1,15,-100.0,0.0,771.9,136
1,16,-100.0,0.0,771.88,136
1,17,-100.0,0.0,771.9,136
1,18,-100.0,0.0,771.94,136
1,19,-100.0,0.0,771.88,136
1,20,-100.0,0.0,771.94,136
1,21,-100.0,0.0,771.9,136
1,22,-100.0,0.0,771.96,136
1,23,-100.0,0.0,771.92,136
1,24,-100.0,0.0,771.94,136
1,25,-100.0,0.0,771.88,136
1,26,-100.0,0.0,771.9,136
1,27,-100.0,0.0,771.94,136
1,28,-100.0,0.0,771.84,136
1,29,-100.0,0.0,771.94,136
1,30,-100.0,0.0,771.84,136
1,31,-100.0,0.0,771.96,136
1,32,-100.0,0.0,771.94,136
1,33,-100.0,0.0,771.94,136
1,34,-100.0,0.0,771.9,136
1,35,-100.0,0.0,771.98,136
1,36,-100.0,0.0,771.92,136
1,37,-100.0,0.0,771.94,136
1,38,-100.0,0.0,772.0,136
1,39,-100.0,0.0,771.9,136
1,40,-100.0,0.0,771.96,136
1,41,-100.0,0.0,771.94,136
1,42,-100.0,0.0,771.84,136
1,43,-100.0,0.0,771.9,136
1,44,-100.0,0.0,771.94,136
1,45,-100.0,0.0,771.96,136
1,46,-100.0,0.0,771.94,136
1,47,-100.0,0.0,771.94,136
1,48,-100.0,0.0,771.84,136
1,49,-100.0,0.0,771.9,136
1,50,-100.0,0.0,771.98,136
1,51,-100.0,0.0,771.88,136
1,52,-100.0,0.0,771.94,136
1,53,-100.0,0.0,771.9,136
1,54,-100.0,0.0,771.84,136
1,55,-100.0,0.0,771.94,136
1,56,-100.0,0.0,771.96,136
1,57,-100.0,0.0,771.88,136
1,58,-100.0,0.0,771.86,136
1,59,-100.0,0.0,771.84,136
1,60,-100.0,0.0,771.96,136
1,61,-100.0,0.0,771.84,136
1,62,-100.0,0.0,771.9,136
1,63,-100.0,0.0,771.96,136
1,64,-100.0,0.0,771.94,136
1,65,-100.0,0.0,771.96,136
1,66,-100.0,0.0,771.9,136
1,67,-100.0,0.0,771.96,136
1,68,-100.0,0.0,771.92,136
1,69,-100.0,0.0,771.96,136
1,70,-100.0,0.0,771.9,136
1,71,-100.0,0.0,771.9,136
1,72,-100.0,0.0,771.96,136
1,73,-100.0,0.0,771.84,136
1,74,-100.0,0.0,771.88,136
1,75,-100.0,0.0,771.96,136
1,76,-100.0,0.0,771.96,136
1,77,-100.0,0.0,772.02,136
1,78,-100.0,0.0,771.9,136
1,79,-100.0,0.0,771.9,136
1,80,-100.0,0.0,771.96,136
1,81,-100.0,0.0,771.9,136
1,82,-100.0,0.0,771.88,136
1,83,-100.0,0.0,772.0,136
1,84,-100.0,0.0,771.92,136
1,85,-100.0,0.0,771.88,136
1,86,-100.0,0.0,771.96,136
1,87,-100.0,0.0,771.96,136
1,88,-100.0,0.0,771.94,136
1,89,-100.0,0.0,771.92,136
1,90,-100.0,0.0,771.96,136
1,91,-100.0,0.0,771.96,136
1,92,-100.0,0.0,771.94,136
1,93,-100.0,0.0,771.84,136
1,94,-100.0,0.0,771.92,136
1,95,-100.0,0.0,771.94,136
1,96,-100.0,0.0,771.88,136
1,97,-100.0,0.0,771.84,136
1,98,-100.0,0.0,771.9,136
1,99,-100.0,0.0,771.84,136
1,100,-100.0,0.0,771.82,136
1,101,-100.0,0.0,771.96,136
1,102,-100.0,0.0,771.9,136
1,103,-100.0,0.0,771.84,136
1,104,-100.0,0.0,772.0,136
1,105,-100.0,0.0,771.94,136
1,106,-100.0,0.0,771.94,136
1,107,-100.0,0.0,771.96,136
1,108,-100.0,0.0,771.92,136
1,109,-100.0,0.0,771.88,136
1,110,-100.0,0.0,771.88,136
1,111,-100.0,0.0,771.84,136
