valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,25801,24.86,30.26,76.66,0
1,25802,24.88,30.29,76.67,0
1,25803,24.92,30.29,76.66,0
1,25804,24.96,30.32,76.68,0
1,25805,24.97,30.25,76.68,0
1,25806,24.95,30.22,76.68,0
1,25807,25.00,30.25,76.69,0
1,25808,25.03,30.31,76.67,0
1,25809,25.04,30.30,76.67,0
1,25810,25.06,30.29,76.66,0
1,25811,25.06,30.29,76.68,0
1,25812,25.07,30.34,76.66,0
1,25813,25.11,30.32,76.68,0
1,25814,25.12,30.30,76.68,0
1,25815,25.11,30.37,76.68,0
1,25816,25.07,30.39,76.65,0
1,25817,25.05,30.42,76.69,0
1,25818,25.03,30.45,76.67,0
1,25819,25.03,30.44,76.67,0
1,25820,25.37,30.42,76.68,0
1,25821,25.37,30.38,76.69,0
1,25822,25.31,30.43,76.68,0
1,25823,25.25,30.45,76.69,0
1,25824,25.28,30.30,76.68,0
1,25825,26.51,30.21,76.68,0
1,25826,26.50,30.13,76.70,0
1,25827,26.32,30.05,76.67,0
1,25828,27.17,30.04,76.67,0
1,25829,28.04,29.96,76.67,0
1,25830,27.82,29.73,76.68,0
1,25831,27.26,29.68,76.69,0
1,25832,26.64,29.44,76.69,0
1,25833,26.21,29.10,76.67,0
1,25834,26.00,28.85,76.68,0
1,25835,25.78,28.57,76.69,0
1,25836,25.62,28.42,76.69,0
1,25837,25.40,28.29,76.67,0
1,25838,25.36,28.17,76.69,0
1,25839,25.35,28.05,76.69,0
1,25840,25.50,27.95,76.69,0
1,25841,25.55,27.82,76.67,0
1,25842,25.59,27.84,76.68,0
1,25843,25.78,27.79,76.68,0
1,25844,26.01,27.78,76.67,0
1,25845,25.95,27.79,76.67,0
1,25846,25.89,27.95,76.68,0
1,25847,25.84,28.07,76.69,0
1,25848,25.79,28.17,76.68,0
1,25849,25.76,28.29,76.66,0
1,25850,26.12,28.39,76.68,0
1,25851,26.20,28.51,76.65,0
1,25852,26.35,28.52,76.69,0
1,25853,27.62,28.67,76.67,0
1,25854,28.67,28.65,76.68,0
1,25855,28.54,28.65,76.67,0
1,25856,28.04,28.60,76.70,0
1,25857,27.85,28.45,76.67,0
1,25858,27.76,28.29,76.69,0
1,25859,27.29,28.02,76.68,0
1,25860,27.00,27.80,76.67,0
1,25861,27.01,27.53,76.68,0
1,25862,27.43,27.35,76.69,0
1,25863,27.73,27.12,76.70,0
1,25864,28.42,27.06,76.68,0
1,25865,29.29,26.85,76.66,0
1,25866,29.37,26.67,76.69,0
1,25867,28.95,26.51,76.68,0
1,25868,27.97,26.37,76.69,0
1,25869,27.30,26.25,76.67,0
1,25870,27.50,26.11,76.69,0
1,25871,27.71,25.96,76.67,0
1,25872,27.39,25.85,76.67,0
1,25873,27.05,25.70,76.68,0
1,25874,26.79,25.59,76.68,0
1,25875,26.37,25.50,76.65,0
1,25876,26.38,25.38,76.68,0
1,25877,26.44,25.36,76.66,0
1,25878,26.40,25.36,76.67,0
1,25879,27.42,25.62,76.69,0
1,25880,27.25,25.71,76.67,0
1,25881,26.82,25.73,76.68,0
1,25882,26.45,25.84,76.69,0
1,25883,26.23,25.93,76.68,0
1,25884,25.98,26.02,76.68,0
1,25885,25.88,26.18,76.67,0
1,25886,25.70,26.31,76.67,0
1,25887,25.65,26.55,76.67,0
1,25888,25.63,26.70,76.68,0
1,25889,25.57,26.80,76.70,0
1,25890,25.50,26.95,76.68,0
1,25891,25.36,27.18,76.67,0
1,25892,25.28,27.48,76.67,0
1,25893,25.28,27.57,76.68,0
1,25894,25.26,27.72,76.69,0
1,25895,25.27,27.84,76.69,0
1,25896,25.29,28.00,76.66,0
1,25897,25.29,28.15,76.67,0
1,25898,25.27,28.29,76.67,0
1,25899,25.27,28.45,76.67,0
1,25900,25.30,28.54,76.68,0
1,25901,25.38,28.70,76.67,0
1,25902,25.54,28.79,76.68,0
1,25903,26.55,28.92,76.69,0
1,25904,27.72,28.96,76.66,0
1,25905,27.32,28.92,76.67,0
1,25906,26.89,28.95,76.67,0
1,25907,26.67,28.90,76.67,0
1,25908,26.38,28.82,76.68,0
1,25909,26.22,28.76,76.70,0
1,25910,26.04,28.63,76.68,0
1,25911,25.97,28.50,76.68,0
1,25912,25.96,28.36,76.67,0
1,25913,26.92,28.22,76.69,0
1,25914,26.98,28.15,76.69,0
1,25915,26.71,28.05,76.68,0
1,25916,26.65,28.04,76.69,0
1,25917,28.62,28.07,76.67,0
1,25918,28.95,28.01,76.68,0
1,25919,29.69,27.87,76.67,0
1,25920,29.17,27.70,76.67,0
1,25921,28.39,27.47,76.66,0
1,25922,27.52,27.37,76.63,0
1,25923,26.89,27.12,76.66,0
1,25924,26.42,26.96,76.67,0
1,25925,26.15,26.77,76.67,0
1,25926,26.02,26.60,76.67,0
1,25927,25.87,26.45,76.67,0
1,25928,25.87,26.34,76.67,0
1,25929,26.29,26.22,76.68,0
1,25930,26.43,26.19,76.70,0
